ID,note,success,mention,comp_devoir,comp_feedback,comp_fichier,comp_presence,comp_remises,comp_systeme,c_notTD,c_TD1,c_TD2,c_TD3,c_TD4,c_TD5,c_TD6,c_TD7,c_TD_all,day_with_inter,ev_class_access,ev_course_access,ev_homework_handed,ev_homework_status,ev_presence,ev_presence_check,ev_presence_set,interactions,interactionsAH,interactionsDO,inter_per_day_mean,inter_per_day_var,session_avg,session_sum,variete_all,variete_composant,variete_contexte,variete_evenement
392,1.5,0,0,30.0,,11.0,15.0,6.0,24.0,7.0,8.0,5.0,6.0,,,,,19.0,11,23.0,26,3.0,9.0,4.0,11.0,4.0,86,8.0,,7.818181818181818,28.76363636363637,1.1236842105263158,21.35,33,5,15,10
896,12.0,1,2,68.0,2.0,30.0,17.0,16.0,39.0,20.0,7.0,9.0,5.0,5.0,5.0,5.0,9.0,45.0,19,38.0,65,8.0,18.0,5.0,12.0,5.0,173,18.0,3.0,9.105263157894736,41.76608187134506,0.5248148148148147,23.616666666666667,68,7,27,13
155,13.0,1,2,70.0,2.0,32.0,25.0,14.0,42.0,19.0,7.0,6.0,8.0,6.0,6.0,7.0,9.0,49.0,18,41.0,68,7.0,19.0,5.0,20.0,5.0,185,37.0,4.0,10.27777777777778,48.80065359477125,0.9170454545454546,40.35,67,6,28,11
421,4.0,0,0,10.0,2.0,26.0,4.0,,7.0,15.0,7.0,,1.0,1.0,4.0,2.0,2.0,17.0,5,7.0,32,,5.0,,4.0,,49,6.0,,9.8,159.2,1.9277777777777776,28.916666666666668,24,5,20,5
104,7.0,0,0,10.0,,14.0,,2.0,5.0,8.0,,1.0,1.0,,1.0,7.0,1.0,11.0,4,5.0,19,1.0,3.0,,,,31,13.0,,7.75,38.25,1.227777777777778,11.05,18,4,13,7
117,6.5,0,0,18.0,1.0,27.0,13.0,2.0,14.0,16.0,10.0,3.0,5.0,2.0,1.0,1.0,,22.0,11,13.0,38,1.0,7.0,4.0,9.0,4.0,76,20.0,4.0,6.909090909090909,33.09090909090909,1.4525,29.05,31,7,21,10
113,3.0,0,0,12.0,,21.0,9.0,2.0,40.0,13.0,,8.0,1.0,3.0,,,2.0,14.0,13,39.0,27,1.0,4.0,2.0,7.0,2.0,84,8.0,7.0,6.461538461538462,57.93589743589743,1.34375,32.25,22,5,14,10
862,11.5,1,1,61.0,3.0,45.0,16.0,14.0,35.0,38.0,5.0,7.0,10.0,1.0,5.0,5.0,8.0,41.0,15,32.0,79,7.0,15.0,5.0,11.0,5.0,175,22.0,16.0,11.666666666666666,38.238095238095234,1.4004629629629628,50.41666666666666,63,7,27,14
103,16.5,1,4,60.0,3.0,55.0,22.0,14.0,51.0,34.0,11.0,9.0,10.0,6.0,5.0,6.0,6.0,53.0,22,50.0,87,7.0,16.0,4.0,18.0,4.0,205,32.0,30.0,9.318181818181818,29.37012987012987,1.1797872340425533,55.45,66,6,28,11
138,9.0,0,0,58.0,3.0,51.0,11.0,10.0,43.0,32.0,9.0,1.0,,10.0,13.0,7.0,10.0,50.0,11,39.0,82,5.0,18.0,2.0,9.0,2.0,177,35.0,,16.09090909090909,116.29090909090908,1.6554054054054057,61.25,56,7,24,14
366,2.0,0,0,10.0,2.0,18.0,8.0,2.0,18.0,14.0,7.0,2.0,,2.0,1.0,,,12.0,9,17.0,26,1.0,3.0,2.0,6.0,2.0,59,9.0,,6.555555555555555,40.02777777777778,1.2877192982456138,24.466666666666665,22,7,15,10
332,5.0,0,0,64.0,,24.0,16.0,12.0,28.0,13.0,9.0,8.0,8.0,8.0,5.0,5.0,,43.0,14,27.0,56,6.0,17.0,4.0,12.0,4.0,144,18.0,,10.285714285714286,51.75824175824174,1.8066666666666669,45.16666666666666,52,5,20,10
386,3.0,0,0,60.0,,36.0,16.0,14.0,38.0,25.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,41.0,17,37.0,66,7.0,16.0,5.0,11.0,5.0,164,11.0,2.0,9.647058823529411,29.61764705882353,0.6787234042553191,31.9,63,5,26,10
911,4.5,0,0,111.0,2.0,48.0,20.0,14.0,64.0,33.0,19.0,10.0,17.0,10.0,5.0,7.0,7.0,75.0,17,63.0,108,7.0,37.0,4.0,16.0,4.0,264,42.0,14.0,15.529411764705882,146.13970588235293,1.45,69.6,67,8,28,16
146,1.0,0,0,55.0,1.0,69.0,7.0,12.0,35.0,42.0,12.0,12.0,2.0,8.0,10.0,6.0,6.0,56.0,15,34.0,98,6.0,14.0,2.0,5.0,2.0,179,26.0,1.0,11.933333333333334,59.20952380952381,1.2947916666666666,62.15,58,6,26,10
507,10.0,1,1,66.0,,30.0,6.0,14.0,26.0,20.0,12.0,6.0,7.0,6.0,7.0,5.0,,43.0,10,25.0,63,7.0,19.0,2.0,4.0,2.0,143,53.0,,14.3,100.67777777777778,1.454761904761905,40.73333333333333,58,6,24,12
827,2.0,0,0,,,12.0,,,12.0,12.0,,,,,,,,,8,12.0,12,,,,,,24,2.0,1.0,3.0,4.0,0.5893939393939395,6.483333333333333,6,2,6,2
9,7.5,0,0,100.0,2.0,70.0,35.0,16.0,51.0,47.0,26.0,7.0,7.0,10.0,14.0,5.0,6.0,75.0,15,50.0,122,8.0,32.0,4.0,31.0,4.0,274,38.0,,18.266666666666666,157.20952380952386,1.6270833333333334,78.1,62,6,26,12
672,5.0,0,0,52.0,2.0,31.0,16.0,12.0,30.0,23.0,6.0,7.0,6.0,5.0,6.0,5.0,,35.0,14,29.0,58,6.0,14.0,5.0,11.0,5.0,143,23.0,2.0,10.214285714285714,53.41208791208791,0.9162037037037036,32.983333333333334,57,6,24,11
393,2.5,0,0,66.0,,31.0,16.0,14.0,28.0,17.0,9.0,5.0,7.0,6.0,6.0,6.0,8.0,47.0,16,26.0,64,7.0,19.0,5.0,11.0,5.0,155,40.0,,9.6875,42.09583333333335,1.1405555555555555,34.21666666666667,65,5,26,11
453,9.0,0,0,64.0,2.0,23.0,12.0,14.0,24.0,17.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,39.0,13,23.0,56,7.0,18.0,4.0,8.0,4.0,139,38.0,,10.692307692307692,30.39743589743589,0.7416666666666667,17.8,68,6,28,11
109,18.0,1,5,67.0,2.0,35.0,19.0,14.0,37.0,22.0,9.0,7.0,6.0,6.0,9.0,6.0,6.0,49.0,14,36.0,71,7.0,18.0,4.0,15.0,4.0,175,27.0,,12.5,49.80769230769231,0.896031746031746,37.63333333333333,67,7,29,11
163,7.0,0,0,82.0,2.0,46.0,29.0,14.0,39.0,25.0,12.0,9.0,10.0,8.0,6.0,9.0,9.0,63.0,13,38.0,88,7.0,26.0,3.0,26.0,3.0,212,29.0,30.0,16.307692307692307,104.39743589743593,1.2564814814814815,45.23333333333333,68,6,29,11
769,8.0,0,0,82.0,1.0,82.0,5.0,10.0,29.0,47.0,21.0,14.0,19.0,10.0,4.0,4.0,5.0,77.0,14,29.0,124,5.0,29.0,,5.0,,209,42.0,5.0,14.928571428571429,206.99450549450552,1.1057017543859649,42.016666666666666,47,6,26,9
728,5.0,0,0,54.0,6.0,58.0,29.0,12.0,36.0,52.0,8.0,6.0,4.0,6.0,6.0,5.0,5.0,40.0,20,35.0,92,6.0,14.0,5.0,24.0,5.0,197,55.0,6.0,9.85,35.186842105263146,1.5303418803418802,59.68333333333333,64,7,29,11
711,2.0,0,0,60.0,3.0,40.0,18.0,12.0,35.0,24.0,12.0,8.0,6.0,7.0,6.0,7.0,3.0,49.0,18,34.0,73,6.0,18.0,4.0,14.0,4.0,171,26.0,,9.5,49.44117647058823,1.3294871794871796,51.85,62,8,27,12
132,2.5,0,0,2.0,,17.0,3.0,,12.0,10.0,4.0,4.0,,,,,,8.0,5,11.0,18,,1.0,1.0,2.0,1.0,34,,,6.8,11.7,2.183333333333333,24.016666666666666,13,4,10,6
77,3.0,0,0,84.0,2.0,65.0,35.0,12.0,56.0,37.0,9.0,10.0,13.0,13.0,7.0,10.0,9.0,71.0,21,52.0,108,6.0,30.0,4.0,31.0,4.0,254,42.0,17.0,12.095238095238097,114.2904761904762,1.674814814814815,75.36666666666666,62,6,26,12
888,6.5,0,0,38.0,1.0,34.0,11.0,8.0,25.0,25.0,6.0,6.0,7.0,5.0,,2.0,3.0,29.0,11,24.0,54,4.0,11.0,3.0,8.0,3.0,117,4.0,5.0,10.636363636363637,50.05454545454548,1.8875,45.3,46,6,24,10
278,11.0,1,1,78.0,2.0,62.0,17.0,14.0,41.0,39.0,14.0,10.0,13.0,10.0,6.0,5.0,6.0,64.0,20,40.0,103,7.0,25.0,5.0,12.0,5.0,215,23.0,14.0,10.75,109.5657894736842,1.6043478260869566,73.8,67,7,29,11
497,1.0,0,0,56.0,2.0,66.0,20.0,12.0,41.0,49.0,10.0,8.0,6.0,6.0,5.0,8.0,3.0,46.0,18,39.0,95,6.0,16.0,5.0,15.0,5.0,197,31.0,20.0,10.944444444444445,48.40849673202615,1.823015873015873,76.56666666666666,64,6,28,12
946,6.0,0,0,79.0,,40.0,15.0,14.0,37.0,28.0,9.0,13.0,7.0,7.0,6.0,5.0,5.0,52.0,18,36.0,80,7.0,23.0,5.0,10.0,5.0,185,15.0,4.0,10.27777777777778,71.38888888888889,1.2845833333333334,51.38333333333333,63,5,26,10
552,3.5,0,0,60.0,2.0,23.0,17.0,14.0,34.0,15.0,7.0,5.0,5.0,6.0,5.0,5.0,6.0,39.0,14,33.0,54,7.0,16.0,5.0,12.0,5.0,150,6.0,,10.714285714285714,38.989010989010985,0.899074074074074,32.36666666666667,61,6,23,11
891,5.5,0,0,26.0,,11.0,6.0,6.0,17.0,7.0,5.0,7.0,6.0,,,,,18.0,7,16.0,25,3.0,7.0,2.0,4.0,2.0,67,16.0,,9.571428571428571,30.61904761904763,0.99,14.85,31,6,14,10
622,10.5,1,1,66.0,3.0,36.0,18.0,14.0,46.0,30.0,8.0,5.0,7.0,6.0,6.0,6.0,6.0,44.0,19,45.0,74,7.0,19.0,5.0,13.0,5.0,187,21.0,7.0,9.842105263157896,32.69590643274854,1.0206349206349208,42.86666666666667,71,8,30,12
761,10.0,1,1,64.0,,36.0,20.0,14.0,35.0,26.0,8.0,5.0,7.0,5.0,5.0,5.0,7.0,42.0,14,34.0,68,7.0,17.0,5.0,15.0,5.0,169,28.0,,12.071428571428571,36.53296703296704,1.3744444444444446,41.23333333333333,66,5,28,10
815,17.5,1,4,66.0,2.0,54.0,10.0,16.0,29.0,30.0,8.0,9.0,11.0,9.0,7.0,7.0,7.0,58.0,13,27.0,88,8.0,16.0,3.0,7.0,3.0,177,47.0,,13.615384615384617,61.256410256410255,0.9266666666666666,41.7,68,6,28,13
258,6.0,0,0,84.0,2.0,102.0,19.0,14.0,45.0,60.0,19.0,12.0,17.0,11.0,11.0,9.0,6.0,85.0,20,43.0,145,7.0,24.0,5.0,14.0,5.0,267,77.0,10.0,13.35,84.34473684210528,1.412051282051282,91.78333333333332,66,7,26,13
423,7.0,0,0,65.0,2.0,43.0,20.0,14.0,37.0,24.0,9.0,7.0,6.0,8.0,7.0,14.0,1.0,52.0,18,36.0,76,7.0,16.0,5.0,15.0,5.0,181,6.0,7.0,10.055555555555555,68.52614379084969,1.2694444444444446,53.31666666666667,59,6,22,15
771,7.0,0,0,96.0,2.0,38.0,23.0,18.0,38.0,19.0,15.0,9.0,12.0,8.0,12.0,7.0,5.0,68.0,15,37.0,87,9.0,27.0,5.0,18.0,5.0,215,13.0,,14.333333333333334,87.23809523809523,1.4446078431372549,49.11666666666667,67,6,27,12
670,6.5,0,0,8.0,,,,,,,4.0,,,,,,,4.0,1,,4,,4.0,,,,8,,8.0,8.0,,0.6333333333333333,0.6333333333333333,6,1,3,2
779,8.0,0,0,58.0,1.0,15.0,9.0,10.0,25.0,11.0,7.0,7.0,1.0,4.0,,14.0,1.0,34.0,10,24.0,45,5.0,13.0,3.0,6.0,3.0,118,34.0,4.0,11.8,91.73333333333336,2.0210526315789474,38.4,43,6,19,11
995,20.0,1,5,64.0,2.0,37.0,22.0,14.0,35.0,22.0,9.0,8.0,7.0,6.0,5.0,6.0,7.0,48.0,15,34.0,70,7.0,17.0,5.0,17.0,5.0,174,7.0,10.0,11.6,29.400000000000016,0.8777777777777778,34.233333333333334,65,6,27,11
55,7.0,0,0,58.0,2.0,40.0,14.0,12.0,36.0,31.0,7.0,8.0,6.0,5.0,,5.0,8.0,39.0,15,35.0,70,6.0,12.0,4.0,10.0,4.0,162,25.0,1.0,10.8,54.02857142857141,1.064341085271318,45.766666666666666,59,6,26,11
88,6.0,0,0,60.0,2.0,32.0,13.0,14.0,24.0,17.0,10.0,10.0,5.0,5.0,5.0,6.0,5.0,46.0,14,23.0,63,7.0,16.0,4.0,9.0,4.0,145,27.0,1.0,10.357142857142858,52.70879120879119,0.8924731182795699,27.666666666666668,63,6,25,11
134,4.5,0,0,76.0,4.0,67.0,18.0,14.0,55.0,45.0,18.0,8.0,8.0,8.0,7.0,7.0,8.0,64.0,15,54.0,109,7.0,23.0,4.0,14.0,4.0,235,26.0,32.0,15.666666666666666,89.80952380952382,1.829251700680272,89.63333333333334,72,7,32,11
697,19.5,1,5,60.0,3.0,35.0,16.0,14.0,37.0,26.0,7.0,5.0,6.0,5.0,6.0,7.0,6.0,42.0,14,36.0,68,7.0,16.0,5.0,11.0,5.0,166,22.0,,11.857142857142858,44.901098901098905,1.4333333333333331,47.3,68,7,29,11
337,10.5,1,1,78.0,,14.0,15.0,14.0,22.0,5.0,7.0,5.0,12.0,5.0,9.0,8.0,2.0,48.0,14,21.0,53,7.0,25.0,3.0,12.0,3.0,143,36.0,,10.214285714285714,58.95054945054945,1.1916666666666669,30.98333333333333,54,5,20,11
832,6.0,0,0,48.0,3.0,49.0,13.0,10.0,27.0,31.0,10.0,10.0,9.0,7.0,1.0,7.0,1.0,45.0,12,26.0,76,5.0,14.0,4.0,9.0,4.0,151,47.0,,12.583333333333334,65.53787878787878,1.1277777777777778,40.6,52,7,24,11
28,5.0,0,0,84.0,3.0,65.0,23.0,14.0,63.0,49.0,24.0,7.0,6.0,6.0,6.0,6.0,8.0,63.0,19,60.0,112,7.0,28.0,5.0,18.0,5.0,255,41.0,28.0,13.421052631578949,80.47953216374266,1.6336021505376344,101.28333333333332,75,7,32,13
334,1.0,0,0,76.0,,18.0,17.0,12.0,32.0,3.0,10.0,10.0,6.0,2.0,10.0,8.0,7.0,53.0,18,30.0,56,6.0,25.0,4.0,13.0,4.0,155,35.0,1.0,8.61111111111111,43.07516339869282,0.9699074074074072,34.916666666666664,51,5,17,11
379,12.5,1,2,60.0,2.0,33.0,15.0,12.0,30.0,22.0,10.0,5.0,9.0,5.0,6.0,6.0,1.0,42.0,16,29.0,64,6.0,17.0,5.0,10.0,5.0,152,17.0,8.0,9.5,32.266666666666666,1.106666666666667,38.73333333333333,57,6,23,12
394,14.0,1,3,68.0,2.0,19.0,15.0,16.0,27.0,8.0,7.0,5.0,6.0,7.0,6.0,8.0,7.0,46.0,13,26.0,54,8.0,18.0,5.0,10.0,5.0,147,4.0,,11.307692307692308,43.89743589743591,0.7446078431372549,25.316666666666663,62,6,23,12
490,14.5,1,3,42.0,2.0,29.0,18.0,10.0,26.0,18.0,6.0,,6.0,5.0,5.0,2.0,9.0,33.0,11,23.0,51,5.0,11.0,3.0,15.0,3.0,128,5.0,5.0,11.636363636363637,63.85454545454545,0.9858024691358024,26.616666666666667,55,7,24,14
343,7.0,0,0,56.0,2.0,57.0,16.0,12.0,51.0,41.0,10.0,7.0,7.0,7.0,8.0,7.0,,46.0,17,48.0,87,6.0,16.0,5.0,11.0,5.0,195,32.0,,11.470588235294118,62.139705882352914,1.6545454545454543,72.8,62,7,27,12
581,6.5,0,0,95.0,1.0,55.0,17.0,14.0,46.0,25.0,18.0,13.0,11.0,12.0,5.0,8.0,11.0,78.0,21,45.0,103,7.0,30.0,5.0,12.0,5.0,229,32.0,3.0,10.904761904761903,115.2904761904762,0.781578947368421,44.55,65,7,27,15
605,2.0,0,0,38.0,3.0,51.0,12.0,8.0,23.0,33.0,12.0,7.0,8.0,2.0,3.0,2.0,5.0,39.0,9,22.0,72,4.0,11.0,3.0,9.0,3.0,135,47.0,,15.0,52.5,1.8266666666666669,54.8,47,6,24,11
340,5.5,0,0,52.0,2.0,32.0,12.0,8.0,35.0,16.0,20.0,7.0,5.0,3.0,6.0,1.0,1.0,43.0,15,33.0,59,4.0,16.0,4.0,8.0,4.0,143,9.0,1.0,9.533333333333331,81.69523809523808,1.108558558558559,41.016666666666666,52,7,24,14
961,18.5,1,5,64.0,2.0,48.0,15.0,14.0,28.0,30.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,51.0,15,26.0,81,7.0,18.0,5.0,10.0,5.0,171,22.0,2.0,11.4,47.1142857142857,1.078888888888889,48.55,67,6,28,12
885,14.5,1,3,62.0,2.0,26.0,17.0,14.0,40.0,14.0,8.0,6.0,5.0,6.0,6.0,8.0,5.0,44.0,16,39.0,58,7.0,17.0,5.0,12.0,5.0,161,8.0,1.0,10.0625,45.66250000000001,0.943421052631579,35.85,63,6,24,11
47,13.0,1,2,100.0,3.0,146.0,11.0,14.0,97.0,84.0,24.0,16.0,22.0,14.0,13.0,13.0,13.0,115.0,27,96.0,199,7.0,34.0,1.0,10.0,1.0,371,182.0,5.0,13.74074074074074,192.66096866096865,0.9362139917695472,75.83333333333333,68,6,30,10
330,15.0,1,3,62.0,2.0,22.0,17.0,14.0,25.0,12.0,7.0,7.0,5.0,7.0,5.0,5.0,6.0,42.0,13,24.0,54,7.0,16.0,5.0,12.0,5.0,142,8.0,2.0,10.923076923076923,39.57692307692309,1.0271428571428571,35.95,61,6,23,11
712,9.5,0,0,70.0,2.0,53.0,18.0,16.0,66.0,32.0,9.0,11.0,9.0,6.0,6.0,9.0,7.0,57.0,19,64.0,89,8.0,19.0,5.0,13.0,5.0,225,40.0,3.0,11.842105263157896,84.3625730994152,0.8387254901960783,57.03333333333333,67,6,27,13
823,5.5,0,0,80.0,4.0,41.0,21.0,14.0,56.0,33.0,9.0,8.0,9.0,7.0,5.0,5.0,8.0,51.0,17,55.0,84,7.0,26.0,5.0,16.0,5.0,216,16.0,,12.705882352941176,67.34558823529416,1.5695121951219513,64.35,69,6,30,11
574,1.5,0,0,58.0,,13.0,18.0,14.0,22.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,37.0,12,21.0,42,7.0,15.0,5.0,13.0,5.0,125,6.0,,10.416666666666666,24.99242424242425,0.7145833333333333,17.15,57,5,20,10
774,11.0,1,1,56.0,,51.0,6.0,8.0,43.0,34.0,8.0,7.0,7.0,4.0,9.0,8.0,2.0,45.0,13,42.0,79,4.0,15.0,2.0,4.0,2.0,165,13.0,6.0,12.692307692307692,76.23076923076923,1.4416666666666669,51.9,50,6,24,11
708,6.0,0,0,50.0,3.0,32.0,17.0,10.0,32.0,16.0,12.0,9.0,6.0,5.0,1.0,6.0,4.0,43.0,13,31.0,59,5.0,14.0,5.0,12.0,5.0,145,22.0,4.0,11.153846153846152,66.80769230769229,1.422222222222222,42.66666666666666,55,7,24,12
40,5.0,0,0,72.0,2.0,65.0,17.0,14.0,47.0,42.0,14.0,11.0,10.0,8.0,5.0,6.0,6.0,60.0,13,44.0,102,7.0,20.0,3.0,14.0,3.0,217,8.0,6.0,16.692307692307693,99.56410256410258,1.7513071895424837,89.31666666666666,65,6,27,11
